,Name,Age,Height,Weight,Team,Sex,NOC,Games,Year,Season,City,Sport,Event,Medal
42764,Lewis Clive,21.0,0.0,0.0,Great Britain,M,GBR,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold
42771,Edmond Cloetens,0.0,0.0,0.0,Belgium,M,BEL,1920 Summer,1920,Summer,Antwerpen,Archery,"Archery Men's Pole Archery, Large Birds, Individual",Gold
42772,Edmond Cloetens,0.0,0.0,0.0,Belgium,M,BEL,1920 Summer,1920,Summer,Antwerpen,Archery,"Archery Men's Pole Archery, Small Birds, Team",Gold
42773,Edmond Cloetens,0.0,0.0,0.0,Belgium,M,BEL,1920 Summer,1920,Summer,Antwerpen,Archery,"Archery Men's Pole Archery, Large Birds, Team",Gold
42781,Constant Robert Cloquet,0.0,0.0,0.0,Belgium,M,BEL,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's epee, Team",Bronze
42785,Roger Closset,23.0,172.0,70.0,France,M,FRA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Team",Silver
42788,"Robert Lynn ""Bob"" Clotworthy",21.0,160.0,60.0,United States,M,USA,1952 Summer,1952,Summer,Helsinki,Diving,Diving Men's Springboard,Bronze
42789,"Robert Lynn ""Bob"" Clotworthy",25.0,160.0,60.0,United States,M,USA,1956 Summer,1956,Summer,Melbourne,Diving,Diving Men's Springboard,Gold
42796,"Robert ""Bobby"" Cloughen",19.0,179.0,76.0,United States,M,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 200 metres,Silver
42799,George Cloutier,27.0,0.0,0.0,Winnipeg Shamrocks-1,M,CAN,1904 Summer,1904,Summer,St. Louis,Lacrosse,Lacrosse Men's Lacrosse,Gold
42818,lodie Pascaline Clouvel,27.0,182.0,69.0,France,F,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
42823,Joseph Cludts,0.0,0.0,0.0,Belgium,M,BEL,1924 Summer,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Silver
42834,Lesaw mikiewicz,24.0,172.0,71.0,Poland,M,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold
42835,Lesaw mikiewicz,27.0,172.0,71.0,Poland,M,POL,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Silver
42837,Alice Marie Coachman (-Davis),24.0,170.0,58.0,United States,F,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Women's High Jump,Gold
42850,Beatrice Nicoleta Coad-Claru,25.0,170.0,64.0,Romania,F,ROU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,Silver
