State,District,Type_of_Crime,Crime,Count
Delhi,Delhi TOTAL,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1164
Delhi,Delhi TOTAL,Property Crime,Robbery,1043
Delhi,Delhi TOTAL,Sexual Crime,Other_Rape,1026
Delhi,Delhi TOTAL,Sexual Crime,Rape,1026
Delhi,Delhi TOTAL,Violent Crime,Murder,1007
Delhi,Delhi TOTAL,Violent Crime,Attempt_To_Murder,950
Delhi,Delhi TOTAL,Trust/Deception Crime,Criminal_Breach_Of_Trust,886
Delhi,Delhi TOTAL,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,806
Delhi,Delhi TOTAL,Negligence,Causing_Death_By_Negligence,783
Delhi,Delhi TOTAL,Family-Related Crime,Dowry_Deaths,272
Delhi,Delhi TOTAL,Sexual Crime,Insult_To_Modesty_Of_Women,272
Delhi,Delhi TOTAL,Violent Crime,Riots,226
Delhi,Delhi TOTAL,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,143
Delhi,Delhi TOTAL,Trust/Deception Crime,Counterfieting,88
Delhi,Delhi TOTAL,Sexual Crime,Custodial_Rape,0
Delhi,Delhi TOTAL,Other,Importation_Of_Girls_From_Foreign_Countries,0
Delhi,SOUTH,Property Crime,Theft,7941
Delhi,SOUTH,Violent Crime,Hurt/Grevious_Hurt,6531
Delhi,SOUTH,Property Crime,Other_Theft,4447
Delhi,SOUTH,Property Crime,Auto_Theft,3494
Delhi,SOUTH,Property Crime,Burglary,2915
Delhi,SOUTH,Violent Crime,Riots,1839
Delhi,SOUTH,Negligence,Causing_Death_By_Negligence,1741
Delhi,SOUTH,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1605
Delhi,SOUTH,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1561
Delhi,SOUTH,Trust/Deception Crime,Cheating,1387
Delhi,SOUTH,Sexual Crime,Other_Rape,706
Delhi,SOUTH,Violent Crime,Attempt_To_Murder,619
Delhi,SOUTH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,424
Delhi,SOUTH,Trust/Deception Crime,Criminal_Breach_Of_Trust,356
Delhi,SOUTH,Kidnapping/Abduction,Kidnapping_And_Abduction,256
Delhi,SOUTH,Property Crime,Preparation_And_Assembly_For_Dacoity,162
Delhi,SOUTH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,153
Delhi,SOUTH,Sexual Crime,Insult_To_Modesty_Of_Women,127
Delhi,SOUTH,Family-Related Crime,Dowry_Deaths,88
Delhi,SOUTH,Sexual Crime,Rape,83
Delhi,SOUTH,Violent Crime,Murder,68
Delhi,SOUTH,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,47
Delhi,SOUTH,Trust/Deception Crime,Counterfieting,41
Delhi,SOUTH,Sexual Crime,Custodial_Rape,0
Delhi,SOUTH,Other,Importation_Of_Girls_From_Foreign_Countries,0
Delhi,NORTH,Property Crime,Theft,6821
Delhi,NORTH,Violent Crime,Hurt/Grevious_Hurt,6466
