State,District,Type_of_Crime,Crime,Count
Bihar,GAYA,Other,Importation_Of_Girls_From_Foreign_Countries,39
Bihar,GAYA,Trust/Deception Crime,Counterfieting,33
Bihar,GAYA,Sexual Crime,Custodial_Rape,0
Jammu & Kashmir,KATHUA,Property Crime,Theft,14837
Jammu & Kashmir,KATHUA,Property Crime,Other_Theft,10200
Jammu & Kashmir,KATHUA,Violent Crime,Hurt/Grevious_Hurt,7939
Jammu & Kashmir,KATHUA,Property Crime,Auto_Theft,4637
Jammu & Kashmir,KATHUA,Property Crime,Burglary,4419
Jammu & Kashmir,KATHUA,Negligence,Causing_Death_By_Negligence,3694
Jammu & Kashmir,KATHUA,Trust/Deception Crime,Cheating,3099
Jammu & Kashmir,KATHUA,Violent Crime,Riots,1091
Jammu & Kashmir,KATHUA,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,998
Jammu & Kashmir,KATHUA,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,743
Jammu & Kashmir,KATHUA,Violent Crime,Attempt_To_Murder,640
Jammu & Kashmir,KATHUA,Trust/Deception Crime,Criminal_Breach_Of_Trust,613
Jammu & Kashmir,KATHUA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,544
Jammu & Kashmir,KATHUA,Sexual Crime,Other_Rape,405
Jammu & Kashmir,KATHUA,Family-Related Crime,Dowry_Deaths,160
Jammu & Kashmir,KATHUA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,159
Jammu & Kashmir,KATHUA,Trust/Deception Crime,Counterfieting,124
Jammu & Kashmir,KATHUA,Sexual Crime,Insult_To_Modesty_Of_Women,89
Jammu & Kashmir,KATHUA,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,89
Jammu & Kashmir,KATHUA,Property Crime,Preparation_And_Assembly_For_Dacoity,82
Jammu & Kashmir,KATHUA,Sexual Crime,Custodial_Rape,0
Jammu & Kashmir,KATHUA,Other,Importation_Of_Girls_From_Foreign_Countries,0
Jammu & Kashmir,KATHUA,Sexual Crime,Rape,0
Jammu & Kashmir,KATHUA,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Jammu & Kashmir,KATHUA,Violent Crime,Murder,0
Jammu & Kashmir,BUDGAM,Property Crime,Theft,9485
Jammu & Kashmir,BUDGAM,Violent Crime,Hurt/Grevious_Hurt,6780
Jammu & Kashmir,BUDGAM,Property Crime,Other_Theft,6149
Jammu & Kashmir,BUDGAM,Property Crime,Auto_Theft,3336
Jammu & Kashmir,BUDGAM,Property Crime,Burglary,3124
Jammu & Kashmir,BUDGAM,Trust/Deception Crime,Cheating,2478
Jammu & Kashmir,BUDGAM,Negligence,Causing_Death_By_Negligence,1519
Jammu & Kashmir,BUDGAM,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1082
Jammu & Kashmir,BUDGAM,Violent Crime,Riots,882
Jammu & Kashmir,BUDGAM,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,793
Jammu & Kashmir,BUDGAM,Violent Crime,Attempt_To_Murder,598
Jammu & Kashmir,BUDGAM,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,426
Jammu & Kashmir,BUDGAM,Trust/Deception Crime,Criminal_Breach_Of_Trust,409
Jammu & Kashmir,BUDGAM,Sexual Crime,Other_Rape,328
Jammu & Kashmir,BUDGAM,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,182
Jammu & Kashmir,BUDGAM,Sexual Crime,Insult_To_Modesty_Of_Women,119
Jammu & Kashmir,BUDGAM,Family-Related Crime,Dowry_Deaths,112
Jammu & Kashmir,BUDGAM,Trust/Deception Crime,Counterfieting,92
Jammu & Kashmir,BUDGAM,Kidnapping/Abduction,Kidnapping_And_Abduction,63
Jammu & Kashmir,BUDGAM,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,50
Jammu & Kashmir,BUDGAM,Property Crime,Preparation_And_Assembly_For_Dacoity,43
Jammu & Kashmir,BUDGAM,Violent Crime,Murder,27
Jammu & Kashmir,BUDGAM,Sexual Crime,Rape,6
Jammu & Kashmir,BUDGAM,Sexual Crime,Custodial_Rape,0
Jammu & Kashmir,BUDGAM,Other,Importation_Of_Girls_From_Foreign_Countries,0
Jammu & Kashmir,BARAMULLA,Violent Crime,Hurt/Grevious_Hurt,7976
Jammu & Kashmir,BARAMULLA,Property Crime,Theft,6930
Jammu & Kashmir,BARAMULLA,Property Crime,Other_Theft,4411
Jammu & Kashmir,BARAMULLA,Property Crime,Auto_Theft,2519
Jammu & Kashmir,BARAMULLA,Negligence,Causing_Death_By_Negligence,2418
Jammu & Kashmir,BARAMULLA,Property Crime,Burglary,2394
Jammu & Kashmir,BARAMULLA,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1739
Jammu & Kashmir,BARAMULLA,Trust/Deception Crime,Cheating,1731
Jammu & Kashmir,BARAMULLA,Violent Crime,Riots,1598
Jammu & Kashmir,BARAMULLA,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1061
Jammu & Kashmir,BARAMULLA,Violent Crime,Attempt_To_Murder,676
Jammu & Kashmir,BARAMULLA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,620
Jammu & Kashmir,BARAMULLA,Sexual Crime,Other_Rape,432
Jammu & Kashmir,BARAMULLA,Trust/Deception Crime,Criminal_Breach_Of_Trust,281
Jammu & Kashmir,BARAMULLA,Sexual Crime,Insult_To_Modesty_Of_Women,153
Jammu & Kashmir,BARAMULLA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,117
Jammu & Kashmir,BARAMULLA,Kidnapping/Abduction,Kidnapping_And_Abduction,109
Jammu & Kashmir,BARAMULLA,Family-Related Crime,Dowry_Deaths,92
Jammu & Kashmir,BARAMULLA,Trust/Deception Crime,Counterfieting,84
